套卷名称,题型,题号,题干,选项A,选项B,选项C,选项D,答案
第三套卷马克思主义基本原理新命题专项,单项选择题,4,"习近平总书记强调：我们从事的是前无古人的伟大事业，守正才能不迷失方向、不犯颠覆性错误，创新才能把握时代、引领时代。守正创新揭示的哲理是",客观规律性和主观能动性的有机结合,"变与不变、继承与发展的辩证统一",矛盾的普遍性和客观性,辩证唯物主义普遍联系的原理,
第三套卷马克思主义基本原理新命题专项,单项选择题,5,"王安石以西风昨夜过园林，吹落黄花满地金的诗句题咏秋菊。苏东坡根据日常生活经验，认为菊花最能耐寒、耐久，不可能像春花那样落英满地。因此，就以秋英不比春花落，说与诗人仔细吟的诗句加以嘲讽。待调到黄州后，苏东坡偶入菊园看见了秋菊落英，方知自己错了。从哲学上看，苏东坡错在他不懂得","认识受时间、地点、条件的限制",精神具有直接现实性的特点,规律在一定条件下可以改变,从偶然中发现必然,
第三套卷马克思主义基本原理新命题专项,单项选择题,6,"民生改善有一个从低层次到高层次、从不均衡到均衡的过程。习近平总书记明确指出，既尽力而为，又量力而行，只能根据经济发展和财力状况逐步提高人民生活水平，做那些现实条件下可以做到的事情。从唯物辩证法角度看，既尽力而为，又量力而行启示我们",充分发挥主观能动性是获得成功的根本前提,坚持适度原则,准确掌握辩证否定的方式和方向,发挥主观能动性去创造联系,
第三套卷马克思主义基本原理新命题专项,单项选择题,7,"当我们路过新修剪的草坪时，总会闻到一种特殊的香味。这种味道到底从何而来？为什么往往会出现在草坪被修剪过之后？有科研人员对此进行了研究，发现这是一种名为绿叶挥发物的碳基化合物在空气中混合的产物。当植物受到昆虫、病菌感染或割草机等机械外力的伤害时，会主动释放这些分子。新修剪的草坪的特殊的香味实际上是碳基化合物，表明",科学研究可以直接得出真理性认识,感性认识有待于发展深化为理性认识,非理性因素在认识活动中起主导作用,认识能力的提升是为了获得理性认识,
第三套卷马克思主义基本原理新命题专项,单项选择题,8,"创纪录高温、大规模火灾、致命洪水…2025年夏天的北半球出现了一连串破坏性极强且致命的天气事件。全球气候巨变最为根本性的因素之一，就是温室气体的排放，如果人类不进行温室气体的减排，看到的极端性气候也会继续增加。全球极端气候频发说明","人与自然不可分割，自然规律要依靠人的活动才能存在和发挥作用",人与自然的矛盾只能通过科学文化实践来解决,自然界已经成为人类社会的一部分,不当的人类实践方式是自然环境恶化的重要原因,
第三套卷马克思主义基本原理新命题专项,单项选择题,9,"毛泽东同志指出：人类的历史，就是一个不断地从必然王国向自由王国发展的历史。这个历史永远不会完结…人类总得不断地总结经验，有所发现，有所发明，有所创造，有所前进。这表明，人类认识世界和改造世界的根本目标是",认识必然和争取自由,实现共产主义,对具体情况作具体分析,实现人的自由而全面的发展,
第三套卷马克思主义基本原理新命题专项,单项选择题,10,"社会意识是社会存在的反映，是社会生活的精神方面。根据不同的层次，社会意识可分为社会心理和社会意识形式。社会意识形式是高层次的社会意识。社会意识形式有意识形态和非意识形态之分。在意识形态中居于核心地位，发挥主导作用的是",政治法律思想,政治法律制度,哲学艺术思想,国家政权,
第三套卷马克思主义基本原理新命题专项,单项选择题,11,"马克思在《资本论》中指出：劳动力这种特殊商品具有独特的使用价值，它能提供劳动，从而能创造价值，但这并不触犯商品生产的一般规律。所以，如果说预付在工资上的价值额不仅在产品中简单地再现出来，而且还增加了一个剩余价值，那么，这也并不是由于卖者被欺诈，而只是由于买者消费了这种商品。这表明劳动力商品在使用价值上的突出特点是",能够在消费过程中能够创造超过劳动力价值的新的价值,能够在消费过程中转移自己的旧价值,其构成包含历史和道德因素,是一切劳动产品所共有的属性,
第三套卷马克思主义基本原理新命题专项,单项选择题,12,"在商品交换过程中，生产商品使用价值的具体劳动是不能直接进行量的比较的，只有将具体劳动还原为抽象劳动，也就是从具体劳动中抽象出无差别的一般人类劳动，才能进行量的比较。在私有制商品经济条件下，具体劳动能否还原为抽象劳动，在根本上取决于",商品和货币能否实现统一,商品的价值和使用价值是否统一,私人劳动和社会劳动能否实现统一,不变资本和可变资本能否实现统一,
第三套卷马克思主义基本原理新命题专项,单项选择题,13,"社会主义扩大再生产是指社会主义生产过程在扩大的规模上不断更新和重复。资本主义扩大再生产的源泉是",剩余劳动,剩余价值,资本积累,不变资本,
第三套卷马克思主义基本原理新命题专项,单项选择题,14,"垄断利润是垄断资本家凭借其在社会生产和流通中的垄断地位而获得的超过平均利润的高额利润。垄断利润形成的关键在于",垄断组织在经济生活中起了决定性作用,率先提高劳动生产率,垄断组织操纵价格,国家垄断资本主义的产生,
第三套卷马克思主义基本原理新命题专项,单项选择题,15,"在资本主义发展的初期，生产资料经济上的所有权与法律上的所有权是一致的，所有权与控制权统一于资本家自身。这一时期占主导地位的所有制形式是",法人资本所有制,私人股份资本所有制,资本主义生产资料私有制,私人资本所有制,
第三套卷马克思主义基本原理新命题专项,单项选择题,16,"邓小平同志指出：社会主义究竟是个什么样子，苏联搞了很多年，也并没有完全搞清楚。可能列宁的思路比较好，搞了个新经济政策，但是后来苏联的模式僵化了。邓小平同志与列宁在如何建设社会主义的探索中有许多相通之处，主要有","进行农村经济体制改革，实行家庭联产承包责任制","取消商品货币关系，保卫社会主义政权","优先发展重工业，快速实现从农业国到工业国的转变","在多种经济成分并存的条件下，利用商品、货币和市场发展经济",
